code_departement,nb_ve_electrique,NB_VP_RECHARGEABLES_GAZ,LIBGEO,nb_bornes_publiques,puissance_moyenne,id_station,ratio_ve_par_borne
02,20943,46,ALAINCOURT,682.0,22.49169590643275,342.0,30.708211143695014
29,26306,30,ARGOL,926.0,22.834723404255318,470.0,28.408207343412528
70,4730,4,ACHEY,170.0,22.0,85.0,27.823529411764707
26,18584,56,ALLAN,767.0,24.557293233082707,532.0,24.229465449804433
56,20837,84,BAUD,878.0,19.51590909090909,440.0,23.732346241457858
22,15195,35,BÉGARD,661.0,24.358662613981764,329.0,22.987897125567322
59,84918,231,ABANCOURT,3697.0,21.50440476190476,762.0,22.969434676764944
86,12663,22,BONNES,574.0,21.39573883161512,291.0,22.0609756097561
79,9226,21,ARDIN,438.0,6.896589861751152,217.0,21.06392694063927
03,7094,10,AUDES,347.0,24.827341772151897,158.0,20.443804034582133
12,6160,13,LES ALBRES,312.0,25.58243243243243,148.0,19.743589743589745
07,8986,12,ACCONS,456.0,25.256521739130434,460.0,19.70614035087719
41,8262,9,AUTHON,448.0,20.69585062240664,241.0,18.441964285714285
04,4894,6,AIGLUN,268.0,23.931076923076922,130.0,18.261194029850746
10,7523,7,ARRELLES,456.0,18.072857142857142,224.0,16.49780701754386
11,9771,6,AIGUES-VIVES,609.0,21.50573529411765,272.0,16.04433497536946
15,3115,2,ANGLARDS-DE-SAINT-FLOUR,209.0,43.666666666666664,39.0,14.904306220095695
09,3291,30,ALLIÈRES,236.0,23.764705882352942,102.0,13.944915254237289
81,11611,20,AGUTS,994.0,22.681811846689897,287.0,11.681086519114688
61,5505,10,AUBE,516.0,19.922268907563026,238.0,10.668604651162791
05,3749,8,ANCELLE,356.0,27.08974212034384,349.0,10.530898876404494
90,3567,3,BEAUCOURT,368.0,22.46,92.0,9.692934782608695
65,5120,20,ARTIGUEMY,716.0,17.427338129496402,278.0,7.150837988826815
75,96930,261,PARIS 11E ARRONDISSEMENT,14556.0,6.359027266028003,2714.0,6.659109645507008
48,1226,0,ALBARET-SAINTE-MARIE,193.0,24.58823529411765,85.0,6.352331606217617
46,4249,6,ALVIGNAC,1370.0,30.369747899159663,238.0,3.1014598540145983
16,9243,3,AGRIS,0.0,,,0.0
58,3674,35,ACHUN,0.0,22.0,72.0,0.0
55,3846,7,AUBRÉVILLE,0.0,,,0.0
